PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/5 20:00,PLMN,N103,99.9996,99.899,99.8582,99.888,99.2753,99.9809,98.7654,1979.0432,141.0885,751.0479,2370.2,2986.1,0.2037,0.5463,0.373,0.3435,4251.9782,214.8543,100,2.5463,0.1482,0.0576,0.1349,0.31
2/5 20:00,PLMN,N104,100,99.7814,99.6474,99.7314,98.9663,99.9635,98.0469,489.7737,107.8708,660.8741,7114.7,8362.5,0.4629,1.035,0.5667,0.4828,4577.5962,537.6481,100,3.1852,0.1086,0.0528,3.3755,0.51
2/5 20:00,PLMN,N105,99.9719,99.5833,99.5939,99.6786,98.6632,99.9321,97.9127,494.1995,131.8047,733.6104,5684.5,6718.5,0.4468,1.5509,0.81,0.7341,4027.0122,396.6995,100,4.2442,0.1288,0.0717,1.4994,0.63
2/5 20:00,PLMN,N107,99.9944,99.8473,99.6936,99.7712,98.9998,99.9655,94.7933,1376.1181,129.9718,606.2,2978.8,3689.6,0.4066,0.8947,0.5827,0.5308,3882.867,266.9014,97.7848,3.3972,0.1116,0.0665,0.2467,0.44
2/5 20:00,PLMN,N108,99.9947,99.7561,99.6466,99.7407,98.8553,99.9597,98.1094,887.393,131.7076,798.1017,4858.1,6039.8,0.4308,0.9838,0.5889,0.5308,4186.1804,401.6784,100,3.572,0.1343,0.0688,4.7048,0.47
2/5 20:00,PLMN,N109,99.9977,99.7121,99.6673,99.6985,98.7618,99.9507,85.7143,938.6178,153.0866,907.6402,7110.4,8675.8,0.3489,1.2527,0.4014,0.421,4078.2647,506.5148,99.2308,3.5987,0.1464,0.0926,1.0439,0.56
2/5 20:00,PLMN,N110,99.9859,99.8655,99.6034,99.6789,99.0336,99.963,97.7051,829.7402,131.6108,810.5643,4968.5,6072.8,0.3486,1.0711,0.4982,0.4311,4301.7121,378.2235,99.1935,1.9274,0.5416,0.429,4.1675,0.5
2/5 20:00,PLMN,N112,100,99.7954,99.7631,99.8079,98.9977,99.9622,95.9184,609.9804,112.0222,681.3976,5630.6,6888.6,0.3656,0.7596,0.4389,0.4284,4214.1914,417.4955,100,2.4159,0.0876,0.0664,0.7149,0.46
2/5 20:00,PLMN,N114,100,99.6465,99.6518,99.7554,98.8365,99.9684,96.5517,926.6076,123.1693,694.4581,5913.6,7164.5,0.4818,1.0786,0.7106,0.6174,3998.1686,393.0594,100,3.0743,0.0465,0.0196,3.7504,0.47
2/5 20:00,PLMN,N115,100,99.8845,99.8365,99.8724,99.3741,99.9815,97.6,1699.2484,130.1146,815.7814,2244,2785.6,0.2816,0.4792,0.4239,0.38,4479.0065,243.1469,100,3.0597,0.1582,0.0758,1.3049,0.27
